round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 5.0 5323.0 0.0100947109342 5333 2934 5.0 4274.0 0.0100953977339 4284 2348 5.0 6109.0 0.0100920909577 6119 3351 5.0 1568.0 0.0100751283596 1578 875 5.0 1161.0 0.0100582135434 1171 650 5.0 2411.0 0.0100874444338 2421 1342
20 5.0 12052.0 0.0100974894593 12062 6611 5.0 9062.0 0.0100956166069 9072 4984 5.0 15729.0 0.0100983002057 15739 8636 5.0 6927.0 0.0100965898363 6937 3804 5.0 5228.0 0.0100984077583 5238 2868 5.0 8835.0 0.0100998948582 8845 4853
30 5.0 23733.0 0.0100988831098 23743 12976 5.0 19188.0 0.0100988110754 19198 10492 5.0 32876.0 0.0100996778342 32886 17897 5.0 16992.0 0.0100975735179 17002 9314 5.0 13187.0 0.0100984696714 13197 7227 5.0 23482.0 0.010099090176 23492 12838
40 5.0 41867.0 0.0100999102841 41877 22732 5.0 32823.0 0.01009896733 32833 17886 5.0 59549.0 0.0100999557038 59559 32110 5.0 33201.0 0.010099578368 33211 18092 5.0 26316.0 0.0100989897319 26326 14368 5.0 48074.0 0.0100995087201 48084 26111
50 5.0 67409.0 0.010099995979 67419 36265 5.0 50439.0 0.0100995381527 50449 27310 5.0 98027.0 0.0100997845853 98037 52555 5.0 56625.0 0.0100996187503 56635 30627 5.0 42246.0 0.0100992076722 42256 22985 5.0 81196.0 0.0100999720081 81206 43643
60 5.0 102078.0 0.0100999676082 102088 54724 5.0 75858.0 0.0100994827035 75868 40810 5.0 152554.0 0.0100997859141 152564 81509 5.0 89003.0 0.0100997392153 89013 47738 5.0 65493.0 0.0100994780529 65503 35299 5.0 127304.0 0.0100997265564 127314 68197
70 5.0 147466.0 0.0100998294062 147476 78800 5.0 109227.0 0.0100997377175 109237 58497 5.0 233618.0 0.0100999020043 233628 124528 5.0 131664.0 0.0100996745951 131674 70395 5.0 97130.0 0.0100999634495 97140 52173 5.0 201182.0 0.0100999971665 201192 107307
80 5.0 205115.0 0.0100997747757 205125 109491 5.0 153302.0 0.0100999733654 153312 81966 5.0 344872.0 0.0100999363509 344882 183617 5.0 186540.0 0.0100998705916 186550 99620 5.0 137562.0 0.010099732031 137572 73552 5.0 308690.0 0.010099841618 308700 164341
90 5.0 278195.0 0.0100999690376 278205 148065 5.0 207940.0 0.0100999373728 207950 110909 5.0 481183.0 0.01009992848 481193 255788 5.0 255664.0 0.0100999053445 255674 136297 5.0 188037.0 0.0100999117147 188047 100379 5.0 440571.0 0.0100998877656 440581 234355
100 5.0 367609.0 0.0100999358161 367619 195646 5.0 279701.0 0.0100998588808 279711 148957 5.0 655186.0 0.0100999310312 655196 348256 5.0 341232.0 0.0100999278933 341242 181568 5.0 257338.0 0.0100999085262 257348 137119 5.0 612155.0 0.0100999440793 612165 325405
110 5.0 476638.0 0.010099935545 476648 253470 5.0 356134.0 0.0100998748397 356144 189403 5.0 858580.0 0.0100999862249 858590 456261 5.0 445593.0 0.0100998934711 445603 236998 5.0 335404.0 0.0100998972572 335414 178625 5.0 807648.0 0.010099987971 807658 429168
120 5.0 606573.0 0.0100999913835 606583 322440 5.0 449076.0 0.0100999779763 449086 238956 5.0 1095134.0 0.0100999946358 1095144 581721 5.0 571571.0 0.0100999824998 571581 303849 5.0 423999.0 0.0100999421478 424009 225628 5.0 1037712.0 0.0100999772268 1037722 551207
