round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 2.0 2664.0 0.100984661396 2674 1366 2.0 2139.0 0.100988611035 2149 1100 2.0 3057.0 0.100998793596 3067 1563 2.0 785.0 0.100833898547 795 421 2.0 581.0 0.100850508181 591 323 2.0 1207.0 0.1008912488 1217 643
20 2.0 6032.0 0.100983886317 6042 3032 2.0 4535.0 0.1009998633 4545 2299 2.0 7872.0 0.100996033491 7882 3977 2.0 3467.0 0.100977363306 3477 1765 2.0 2617.0 0.100956565022 2627 1338 2.0 4422.0 0.100989463284 4432 2234
30 2.0 11878.0 0.100995109007 11888 5976 2.0 9604.0 0.100979478565 9614 4816 2.0 16454.0 0.100997509488 16464 8215 2.0 8504.0 0.100995448177 8514 4288 2.0 6600.0 0.100990071504 6610 3309 2.0 11753.0 0.100984857364 11763 5877
40 2.0 20954.0 0.100997202621 20964 10424 2.0 16428.0 0.10098775817 16438 8219 2.0 29804.0 0.100994930902 29814 14861 2.0 16617.0 0.10099275523 16627 8302 2.0 13171.0 0.10099156349 13181 6627 2.0 24061.0 0.100991446865 24071 12014
50 2.0 33738.0 0.100994425633 33748 16760 2.0 25244.0 0.100997240811 25254 12588 2.0 49061.0 0.100998714882 49071 24241 2.0 28340.0 0.100997603346 28350 14111 2.0 21144.0 0.100991089953 21154 10546 2.0 40638.0 0.10099612835 40648 20153
60 2.0 51089.0 0.100997275853 51099 25342 2.0 37966.0 0.100996111422 37976 18799 2.0 76351.0 0.100998479567 76361 37510 2.0 44545.0 0.100996768347 44555 22060 2.0 32778.0 0.100998960063 32788 16278 2.0 63714.0 0.100997416837 63724 31373
70 2.0 73805.0 0.100997330683 73815 36258 2.0 54667.0 0.1009963028 54677 26988 2.0 116922.0 0.100999536404 116932 57158 2.0 65896.0 0.100997588861 65906 32424 2.0 48612.0 0.100999757386 48622 24110 2.0 100689.0 0.1009985041 100699 49279
80 2.0 102657.0 0.100998412613 102667 50153 2.0 76726.0 0.100997526564 76736 37650 2.0 172603.0 0.10099944473 172613 84157 2.0 93360.0 0.100999925883 93370 45757 2.0 68848.0 0.100997423487 68858 33883 2.0 154494.0 0.1009996982 154504 75351
90 2.0 139232.0 0.100999909402 139242 67945 2.0 104071.0 0.100998839863 104081 50940 2.0 240824.0 0.100999848814 240834 117095 2.0 127956.0 0.100998994563 127966 62483 2.0 94110.0 0.100998360425 94120 46130 2.0 220499.0 0.100999082554 220509 107340
100 2.0 183983.0 0.100998880736 183993 89634 2.0 139986.0 0.100999033052 139996 68293 2.0 327910.0 0.100999583363 327920 159312 2.0 170781.0 0.100999701645 170791 83261 2.0 128794.0 0.100998700468 128804 62948 2.0 306374.0 0.100999419735 306384 148936
110 2.0 238550.0 0.100999264708 238560 116096 2.0 178239.0 0.100999718689 178249 86821 2.0 429706.0 0.100999525325 429716 208610 2.0 223012.0 0.100999515922 223022 108496 2.0 167864.0 0.10099980014 167874 81859 2.0 404215.0 0.100999701108 404225 196278
120 2.0 303580.0 0.100999826024 303590 147624 2.0 224756.0 0.100999110528 224766 109354 2.0 548097.0 0.100999795669 548107 265934 2.0 286062.0 0.100999835917 286072 139032 2.0 212205.0 0.100999283381 212215 103223 2.0 519358.0 0.100999807305 519368 252019
130 2.0 381184.0 0.100999860764 381194 185121 2.0 278930.0 0.100999259446 278940 135715 2.0 688206.0 0.100999770538 688216 333813 2.0 360951.0 0.100999762662 360961 175230 2.0 263956.0 0.100999499603 263966 128303 2.0 654069.0 0.100999960488 654079 317304
140 2.0 472177.0 0.100999703711 472187 229205 2.0 342517.0 0.100999742671 342527 166417 2.0 860839.0 0.100999898785 860849 417414 2.0 449235.0 0.100999612653 449245 218034 2.0 325234.0 0.100999534025 325244 158013 2.0 820902.0 0.100999824376 820912 397989
150 2.0 579683.0 0.100999760006 579693 281233 2.0 422083.0 0.100999673783 422093 204903 2.0 1051277.0 0.100999805446 1051287 509309 2.0 552974.0 0.100999654593 552984 268079 2.0 401343.0 0.100999893061 401353 194794 2.0 1003873.0 0.100999899229 1003883 486539
160 2.0 704151.0 0.100999855183 704161 341511 2.0 517826.0 0.100999995367 517836 251203 2.0 1271460.0 0.10099983912 1271470 616004 2.0 674315.0 0.100999807426 674325 326836 2.0 491669.0 0.100999753561 491679 238315 2.0 1221820.0 0.100999995003 1221830 591986
170 2.0 846959.0 0.100999754448 846969 410712 2.0 620643.0 0.100999895755 620653 301087 2.0 1523698.0 0.100999895147 1523708 738195 2.0 813345.0 0.100999871247 813355 394346 2.0 593788.0 0.100999748816 593798 288215 2.0 1466710.0 0.100999896838 1466720 710629
180 2.0 1014627.0 0.100999835613 1014637 491479 2.0 760246.0 0.100999745116 760256 368686 2.0 1806425.0 0.10099989928 1806435 874868 2.0 976318.0 0.10099983241 976328 473116 2.0 724674.0 0.100999977089 724684 351231 2.0 1745579.0 0.100999941744 1745589 845693
190 2.0 1204706.0 0.100999907045 1204716 583665 2.0 889372.0 0.100999923781 889382 431150 2.0 2136913.0 0.100999972539 2136923 1035165 2.0 1161578.0 0.100999908829 1161588 562920 2.0 857566.0 0.100999888455 857576 415621 2.0 2060516.0 0.100999899212 2060526 997972
200 2.0 1420867.0 0.100999870756 1420877 688418 2.0 1041394.0 0.10099981658 1041404 504563 2.0 2510456.0 0.100999930573 2510466 1215809 2.0 1372286.0 0.100999869222 1372296 664920 2.0 1003603.0 0.100999969336 1003613 486272 2.0 2430571.0 0.100999942537 2430581 1177428
