round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 2.0 9490.0 0.100996569201 9500 4768 2.0 8510.0 0.100999793869 8520 4286 2.0 10507.0 0.100995037204 10517 5248 2.0 7611.0 0.10098396186 7621 3843 2.0 6952.0 0.100990763628 6962 3521 2.0 8657.0 0.100979241856 8667 4340
20 2.0 21932.0 0.100995361232 21942 10930 2.0 19301.0 0.100997089175 19311 9606 2.0 25236.0 0.100995287522 25246 12578 2.0 19367.0 0.100995713442 19377 9670 2.0 17383.0 0.10099026498 17393 8691 2.0 21786.0 0.100993835941 21796 10906
30 2.0 37976.0 0.100997734228 37986 18847 2.0 33663.0 0.100999999977 33673 16734 2.0 44961.0 0.100995956701 44971 22284 2.0 34602.0 0.100998073582 34612 17189 2.0 30660.0 0.100997425304 30670 15275 2.0 40259.0 0.100997310375 40269 20002
40 2.0 58242.0 0.100998851834 58252 28787 2.0 50560.0 0.100997086477 50570 25022 2.0 70427.0 0.100997128126 70437 34581 2.0 53905.0 0.100997613555 53915 26677 2.0 47303.0 0.100998788357 47313 23376 2.0 64683.0 0.10099928152 64693 31882
50 2.0 83173.0 0.10099840783 83183 40836 2.0 70610.0 0.100997755459 70620 34800 2.0 103027.0 0.100999507126 103037 50410 2.0 77775.0 0.10099984214 77785 38138 2.0 66509.0 0.100998996731 66519 32700 2.0 94604.0 0.100998466592 94614 46236
60 2.0 113491.0 0.100998509014 113501 55528 2.0 94814.0 0.100998400369 94824 46386 2.0 144611.0 0.100999770981 144621 70443 2.0 106947.0 0.100998373089 106957 52293 2.0 89626.0 0.10099957467 89636 43908 2.0 131974.0 0.100999381574 131984 64401
70 2.0 149920.0 0.100999656989 149930 73073 2.0 123596.0 0.100999066196 123606 60356 2.0 200043.0 0.100999541648 200053 97354 2.0 142011.0 0.100999906351 142021 69276 2.0 117542.0 0.100998846402 117552 57463 2.0 183810.0 0.100998976629 183820 89567
80 2.0 193147.0 0.100999493722 193157 94196 2.0 158869.0 0.100998840927 158879 77533 2.0 271453.0 0.10099960312 271463 132028 2.0 183851.0 0.100999171868 183861 89582 2.0 150991.0 0.100998862502 151001 73610 2.0 253344.0 0.100999769016 253354 123242
90 2.0 244777.0 0.100999293068 244787 119082 2.0 200175.0 0.100999273829 200185 97479 2.0 356066.0 0.100999842922 356076 172852 2.0 233500.0 0.100999663484 233510 113676 2.0 190214.0 0.100999059345 190224 92659 2.0 335740.0 0.100999966306 335750 163160
100 2.0 305087.0 0.100999712203 305097 148242 2.0 250394.0 0.10099988939 250404 121731 2.0 460030.0 0.100999556972 460040 223074 2.0 291886.0 0.100999508946 291896 141859 2.0 239202.0 0.100999750374 239212 116295 2.0 438493.0 0.100999921419 438503 212937
110 2.0 375702.0 0.100999954872 375712 182470 2.0 303523.0 0.10099938321 303533 147365 2.0 579644.0 0.100999719384 579654 281224 2.0 360165.0 0.100999555732 360175 175002 2.0 293148.0 0.100999417969 293158 142520 2.0 554153.0 0.100999856528 554163 268894
120 2.0 457378.0 0.100999844939 457388 221906 2.0 365712.0 0.100999965922 365722 177685 2.0 716597.0 0.100999795542 716607 347483 2.0 439860.0 0.100999852125 439870 213464 2.0 353162.0 0.100999504131 353172 171460 2.0 687858.0 0.100999804335 687868 333635
130 2.0 551881.0 0.100999626415 551891 267737 2.0 435916.0 0.100999794347 435926 211670 2.0 875529.0 0.100999797328 875539 424299 2.0 531647.0 0.100999946846 531657 257741 2.0 420942.0 0.100999963976 420952 204360 2.0 841392.0 0.100999946102 841402 408056
140 2.0 660233.0 0.100999704897 660243 320007 2.0 515542.0 0.100999606274 515552 250178 2.0 1066849.0 0.100999941332 1066859 517234 2.0 637290.0 0.100999971058 637300 308985 2.0 498258.0 0.100999887822 498268 241630 2.0 1026912.0 0.100999883494 1026922 497671
150 2.0 785349.0 0.100999915138 785359 380772 2.0 611584.0 0.100999711983 611594 296477 2.0 1276513.0 0.100999948116 1276523 618243 2.0 758640.0 0.10099984377 758650 368000 2.0 590844.0 0.100999862288 590854 286510 2.0 1229110.0 0.100999858953 1229120 595843
160 2.0 927743.0 0.100999867993 927753 449657 2.0 723911.0 0.100999770787 723921 350924 2.0 1515925.0 0.100999900611 1515935 734545 2.0 897907.0 0.100999832567 897917 435021 2.0 697753.0 0.10099989365 697763 338306 2.0 1466286.0 0.100999888982 1466296 710537
170 2.0 1088774.0 0.100999991848 1088784 527681 2.0 843937.0 0.100999778127 843947 409273 2.0 1787606.0 0.100999903633 1787616 866128 2.0 1055161.0 0.100999889914 1055171 511489 2.0 817081.0 0.100999925101 817091 396324 2.0 1730618.0 0.10099990533 1730628 838488
180 2.0 1274988.0 0.10099988851 1274998 617629 2.0 1000668.0 0.100999875842 1000678 484831 2.0 2090119.0 0.100999952966 2090129 1012358 2.0 1236679.0 0.100999887697 1236689 599299 2.0 965097.0 0.100999836754 965107 467716 2.0 2029273.0 0.100999991084 2029283 982944
190 2.0 1483835.0 0.100999869024 1483845 719022 2.0 1147317.0 0.100999834367 1147327 556076 2.0 2440987.0 0.100999950676 2440997 1182024 2.0 1440707.0 0.100999869358 1440717 698099 2.0 1115510.0 0.100999993395 1115520 540567 2.0 2364589.0 0.100999975082 2364599 1144983
200 2.0 1718843.0 0.100999939899 1718853 832547 2.0 1317381.0 0.10099990501 1317391 638670 2.0 2835045.0 0.100999929422 2835055 1373093 2.0 1670262.0 0.100999940722 1670272 809443 2.0 1279591.0 0.100999862966 1279601 620100 2.0 2755160.0 0.100999940046 2755170 1334406
