round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 2.0 1339.0 0.100861897237 1349.0 701 2.0 1258.0 0.100973115901 1268.0 659 2.0 1454.0 0.100912900199 1464.0 761
20 2.0 1341.0 0.100871285954 1351.0 703 2.0 1273.0 0.100875811515 1283.0 667 2.0 1468.0 0.100972466619 1478.0 769
30 2.0 1337.0 0.100852480793 1347.0 700 2.0 1248.0 0.100923547536 1258.0 654 2.0 1442.0 0.10086093453 1452.0 755
40 2.0 1328.0 0.100972876697 1338.0 696 2.0 1415.0 0.100893869212 1425.0 741 2.0 1380.0 0.100891974273 1390.0 723
50 2.0 1337.0 0.100852480793 1347.0 700 2.0 1413.0 0.100885003435 1423.0 740 2.0 1425.0 0.100937829543 1435.0 746
60 2.0 1339.0 0.100861897237 1349.0 701 2.0 1256.0 0.100963264576 1266.0 658 2.0 1328.0 0.100972876697 1338.0 696
70 2.0 1337.0 0.100852480793 1347.0 700 2.0 1302.0 0.100849359854 1312.0 682 2.0 1367.0 0.100990870747 1377.0 716
80 2.0 1347.0 0.100899286959 1357.0 706 2.0 1328.0 0.100972876697 1338.0 696 2.0 1246.0 0.100913539601 1256.0 653
90 2.0 1341.0 0.100871285954 1351.0 703 2.0 1267.0 0.100846066472 1277.0 664 2.0 1310.0 0.100887880566 1320.0 686
100 2.0 1335.0 0.100843036499 1345.0 699 2.0 1328.0 0.100972876697 1338.0 696 2.0 1322.0 0.100944798569 1332.0 693
110 2.0 1341.0 0.100871285954 1351.0 703 2.0 1234.0 0.100852819488 1244.0 647 2.0 1402.0 0.100990314062 1412.0 734
120 2.0 1339.0 0.100861897237 1349.0 701 2.0 1246.0 0.100913539601 1256.0 653 2.0 1242.0 0.10089342827 1252.0 651
130 2.0 1335.0 0.100843036499 1345.0 699 2.0 1326.0 0.100963545198 1336.0 695 2.0 1372.0 0.100855442488 1382.0 719
140 2.0 1347.0 0.100899286959 1357.0 706 2.0 1351.0 0.100917817881 1361.0 708 2.0 1271.0 0.100865927304 1281.0 666
150 2.0 1349.0 0.100908565982 1359.0 707 2.0 1454.0 0.100912900199 1464.0 761 2.0 1384.0 0.100910083812 1394.0 725
160 2.0 1349.0 0.100908565982 1359.0 707 2.0 1369.0 0.100999883798 1379.0 717 2.0 1359.0 0.100954556613 1369.0 712
170 2.0 1339.0 0.100861897237 1349.0 701 2.0 1345.0 0.100889980693 1355.0 705 2.0 1435.0 0.100981184917 1445.0 751
180 2.0 1341.0 0.100871285954 1351.0 703 2.0 1369.0 0.100999883798 1379.0 717 2.0 1279.0 0.100905281039 1289.0 670
190 2.0 1337.0 0.100852480793 1347.0 700 2.0 1417.0 0.100902710282 1427.0 742 2.0 1339.0 0.100861897237 1349.0 701
200 2.0 1347.0 0.100899286959 1357.0 706 2.0 1468.0 0.100972466619 1478.0 769 2.0 1369.0 0.100999883798 1379.0 717
