round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 7.0 5553.0 0.00109972465414 5563 2998 7.0 4605.0 0.00109840044153 4615 2482 7.0 5468.0 0.00109951633639 5478 2961
20 7.0 7579.0 0.00109902316312 7589 4066 7.0 5669.0 0.00109912530067 5679 3054 7.0 10194.0 0.00109940169429 10204 5471
30 7.0 9969.0 0.00109936796041 9979 5375 7.0 8874.0 0.00109953071312 8884 4773 7.0 13891.0 0.00109996419284 13901 7450
40 7.0 12815.0 0.00109967497616 12825 6860 7.0 9622.0 0.00109961528474 9632 5154 7.0 16969.0 0.00109969224775 16979 9085
50 7.0 15947.0 0.00109979758035 15957 8549 7.0 12116.0 0.00109939862236 12126 6517 7.0 24887.0 0.00109994178934 24897 13316
60 7.0 19335.0 0.00109965683614 19345 10373 7.0 15327.0 0.00109961748086 15337 8197 7.0 37337.0 0.00109984256047 37347 19872
70 7.0 23367.0 0.00109979069016 23377 12499 7.0 17887.0 0.00109985867239 17897 9612 7.0 47962.0 0.0010998593373 47972 25485
80 7.0 27466.0 0.00109985734329 27476 14664 7.0 23276.0 0.00109971490968 23286 12446 7.0 53502.0 0.0010999473286 53512 28339
90 7.0 33317.0 0.00109980897503 33327 17792 7.0 29430.0 0.00109997616565 29440 15707 7.0 60052.0 0.00109996432572 60062 31791
100 7.0 39003.0 0.00109993023737 39013 20778 7.0 33067.0 0.0010999579486 33077 17642 7.0 63628.0 0.00109997751712 63638 33591
110 7.0 45906.0 0.00109991251902 45916 24446 7.0 30653.0 0.00109983653254 30663 16350 7.0 75311.0 0.00109999312026 75321 39716
120 7.0 51757.0 0.0010998751446 51767 27481 7.0 37081.0 0.00109995864323 37091 19721 7.0 84908.0 0.00109999975387 84918 44633
130 7.0 59779.0 0.00109987658915 59789 31648 7.0 44240.0 0.0010998378564 44250 23544 7.0 100855.0 0.0010999581012 100865 52961
140 7.0 67782.0 0.00109996329846 67792 35775 7.0 51063.0 0.00109997527506 51073 27132 7.0 117993.0 0.00109999575783 118003 61848
150 7.0 78912.0 0.00109993686288 78922 41597 7.0 61275.0 0.00109989470935 61285 32348 7.0 140052.0 0.00109997733097 140062 73286
160 7.0 88150.0 0.00109996433828 88160 46359 7.0 77282.0 0.00109994352193 77292 40724 7.0 146657.0 0.00109996911758 146667 76698
170 7.0 99310.0 0.00109997490426 99320 52165 7.0 79344.0 0.00109991850408 79354 41731 7.0 168369.0 0.00109997265816 168379 87964
180 7.0 113183.0 0.00109994827979 113193 59410 7.0 105094.0 0.0010999603501 105104 55172 7.0 179766.0 0.00109998613738 179776 93877
190 7.0 127420.0 0.00109998245827 127430 66724 7.0 93970.0 0.00109998889898 93980 49363 7.0 225714.0 0.00109998635273 225724 117811
200 7.0 143531.0 0.00109996629777 143541 75063 7.0 111650.0 0.00109997436571 111660 58497 7.0 236017.0 0.00109997235536 236027 123018
