round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 7.0 7870.0 0.00109996405853 7880 4244 7.0 6320.0 0.00109891313228 6330 3405 7.0 9032.0 0.0010996466711 9042 4849 7.0 2318.0 0.00109764188422 2328 1258 7.0 1716.0 0.00109638060643 1726 939 7.0 3565.0 0.00109796408447 3575 1930
20 7.0 17820.0 0.00109990144132 17830 9568 7.0 13399.0 0.00109960409828 13409 7200 7.0 23257.0 0.0010999642627 23267 12425 7.0 10242.0 0.00109989584986 10252 5521 7.0 7731.0 0.00109908686333 7741 4162 7.0 13064.0 0.00109988923895 13074 7014
30 7.0 35093.0 0.00109979292802 35103 18759 7.0 28372.0 0.00109991252002 28382 15162 7.0 48612.0 0.00109998014099 48622 25839 7.0 25125.0 0.00109969430574 25135 13383 7.0 19499.0 0.00109974189643 19509 10434 7.0 34722.0 0.00109979311017 34732 18519
40 7.0 61907.0 0.00109995867872 61917 32732 7.0 48533.0 0.00109997008003 48543 25835 7.0 88053.0 0.00109993733547 88063 46296 7.0 49093.0 0.00109989594261 49103 26060 7.0 38912.0 0.00109988522916 38922 20717 7.0 71085.0 0.00109990137078 71095 37439
50 7.0 99675.0 0.00109996784955 99685 52348 7.0 74582.0 0.00109990901245 74592 39323 7.0 144948.0 0.00109996965616 144958 75831 7.0 83729.0 0.00109992007068 83739 44078 7.0 62467.0 0.0010999005163 62477 32988 7.0 120061.0 0.00109998356744 120071 62957
60 7.0 150938.0 0.00109999956239 150948 78971 7.0 112167.0 0.00109997120227 112177 58802 7.0 225574.0 0.00109999039666 225584 117716 7.0 131604.0 0.00109999888791 131614 68946 7.0 96841.0 0.00109995784146 96851 50893 7.0 188238.0 0.00109998404285 188248 98275
70 7.0 218051.0 0.00109998391822 218061 113792 7.0 161509.0 0.00109995915466 161519 84611 7.0 345440.0 0.00109999371294 345450 179869 7.0 194685.0 0.0010999726149 194695 101671 7.0 143622.0 0.00109997846956 143632 75228 7.0 297479.0 0.00109999280256 297489 155012
80 7.0 303293.0 0.00109999779171 303303 158055 7.0 226681.0 0.00109998656738 226691 118185 7.0 509947.0 0.00109998575408 509957 265269 7.0 275828.0 0.00109998742871 275838 143694 7.0 203406.0 0.00109998463853 203416 106212 7.0 456445.0 0.00109999239776 456455 237531
90 7.0 411355.0 0.00109998425018 411365 214193 7.0 307472.0 0.0010999775496 307482 160303 7.0 711503.0 0.00109999630584 711513 369802 7.0 378039.0 0.00109998193268 378049 196838 7.0 278042.0 0.00109998120855 278052 144918 7.0 651452.0 0.00109998894471 651462 338727
100 7.0 543567.0 0.00109998854841 543577 282663 7.0 413581.0 0.00109998312894 413591 215253 7.0 968793.0 0.00109999828961 968803 503086 7.0 504564.0 0.00109999499181 504574 262577 7.0 380514.0 0.00109998788346 380524 198153 7.0 905166.0 0.0010999923303 905176 470394
110 7.0 704783.0 0.00109999214482 704793 366358 7.0 526598.0 0.00109999995154 526608 274067 7.0 1269544.0 0.00109999625806 1269554 659786 7.0 658877.0 0.0010999991759 658887 342620 7.0 495946.0 0.0010999965111 495956 257978 7.0 1194233.0 0.00109999727366 1194243 620511
120 7.0 896913.0 0.00109999235356 896923 466376 7.0 664029.0 0.00109999079657 664039 345382 7.0 1619326.0 0.00109999701251 1619336 841131 7.0 845157.0 0.00109999158626 845167 439187 7.0 626948.0 0.00109999425606 626958 325979 7.0 1534418.0 0.00109999749723 1534428 797053
130 7.0 1126190.0 0.00109999665356 1126200 585077 7.0 824083.0 0.00109999694886 824093 428550 7.0 2033271.0 0.001099997141 2033281 1056164 7.0 1066412.0 0.00109999708603 1066422 553920 7.0 779844.0 0.00109999736364 779854 405640 7.0 1932416.0 0.00109999968659 1932426 1003661
140 7.0 1395023.0 0.00109999930393 1395033 724722 7.0 1011950.0 0.0010999936644 1011960 526133 7.0 2543308.0 0.00109999818462 2543318 1321111 7.0 1327242.0 0.00109999608386 1327252 689545 7.0 960887.0 0.00109999565851 960897 499354 7.0 2425315.0 0.00109999870473 2425325 1259294
150 7.0 1712645.0 0.00109999711346 1712655 889894 7.0 1247023.0 0.00109999700172 1247033 648242 7.0 3105946.0 0.00109999989542 3105956 1612662 7.0 1633734.0 0.00109999591078 1633744 848612 7.0 1185749.0 0.0010999966237 1185759 616116 7.0 2965895.0 0.00109999869645 2965905 1540039
160 7.0 2080380.0 0.00109999922458 2080390 1080441 7.0 1529893.0 0.00109999823691 1529903 794709 7.0 3756467.0 0.00109999873395 3756477 1951031 7.0 1992231.0 0.00109999739448 1992241 1034689 7.0 1452612.0 0.00109999652289 1452622 754749 7.0 3609811.0 0.00109999807536 3609821 1874810
170 7.0 2502298.0 0.00109999966118 2502308 1299715 7.0 1833660.0 0.00109999922323 1833670 952464 7.0 4501693.0 0.00109999903677 4501703 2337557 7.0 2402989.0 0.00109999789049 2402999 1248089 7.0 1754317.0 0.00109999904595 1754327 911020 7.0 4333325.0 0.00109999851597 4333335 2250097
180 7.0 2997666.0 0.00109999940355 2997676 1556778 7.0 2246109.0 0.00109999851936 2246119 1166812 7.0 5336996.0 0.00109999983964 5337006 2771697 7.0 2884484.0 0.00109999908097 2884494 1498189 7.0 2141016.0 0.00109999725809 2141026 1112026 7.0 5157231.0 0.00109999900727 5157241 2677554
190 7.0 3559247.0 0.00109999804308 3559257 1848310 7.0 2627608.0 0.00109999733885 2627618 1364819 7.0 6313410.0 0.00109999881723 6313420 3277855 7.0 3431827.0 0.00109999890313 3431837 1782081 7.0 2533638.0 0.00109999803874 2533648 1315868 7.0 6087696.0 0.00109999943547 6087706 3160782
200 7.0 4197883.0 0.00109999944696 4197893 2180073 7.0 3076748.0 0.0010999982094 3076758 1597545 7.0 7417023.0 0.00109999980381 7417033 3851570 7.0 4054353.0 0.00109999896936 4054363 2105493 7.0 2965098.0 0.00109999943431 2965108 1539776 7.0 7181007.0 0.00109999976255 7181017 3728823
