round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 2.0 1880.0 0.100945271715 1890 975 2.0 1559.0 0.100916650457 1569 801 2.0 1851.0 0.100964972375 1861 966
20 2.0 2565.0 0.100999764249 2575 1315 2.0 1919.0 0.100958648297 1929 993 2.0 3451.0 0.100948705203 3461 1770
30 2.0 3374.0 0.100999623433 3384 1727 2.0 3004.0 0.100962233158 3014 1535 2.0 4702.0 0.100988219009 4712 2385
40 2.0 4338.0 0.100969889982 4348 2193 2.0 3257.0 0.100977930253 3267 1649 2.0 5744.0 0.100976032878 5754 2918
50 2.0 5398.0 0.100981098255 5408 2736 2.0 4101.0 0.100982041768 4111 2077 2.0 8424.0 0.10098835495 8434 4239
60 2.0 6545.0 0.100971336511 6555 3312 2.0 5188.0 0.1009816054 5198 2628 2.0 12638.0 0.100988614792 12648 6315
70 2.0 7909.0 0.100997470435 7919 3981 2.0 6055.0 0.100971560376 6065 3061 2.0 16234.0 0.100994088494 16244 8120
80 2.0 9297.0 0.100985165343 9307 4669 2.0 7879.0 0.100974010609 7889 3959 2.0 18109.0 0.100998282879 18119 9045
90 2.0 11277.0 0.100993229869 11287 5668 2.0 9962.0 0.100984057478 9972 5003 2.0 20326.0 0.100998696445 20336 10151
100 2.0 13202.0 0.100989633944 13212 6611 2.0 11193.0 0.100985672291 11203 5620 2.0 21537.0 0.100992978374 21547 10731
110 2.0 15538.0 0.100996825249 15548 7762 2.0 10376.0 0.100979860045 10386 5223 2.0 25491.0 0.100997448668 25501 12714
120 2.0 17519.0 0.100988683187 17529 8735 2.0 12551.0 0.100997631596 12561 6281 2.0 28740.0 0.100992891453 28750 14308
130 2.0 20234.0 0.100992102828 20244 10106 2.0 14974.0 0.100996235939 14984 7497 2.0 34137.0 0.100996662117 34147 16954
140 2.0 22943.0 0.100993101333 22953 11452 2.0 17284.0 0.100992538144 17294 8647 2.0 39938.0 0.100996611401 39948 19802
150 2.0 26710.0 0.100994740044 26720 13267 2.0 20740.0 0.100996304184 20750 10333 2.0 47404.0 0.100998201623 47414 23468
160 2.0 29837.0 0.100994486806 29847 14855 2.0 26158.0 0.100997185545 26168 12999 2.0 49640.0 0.100996367983 49650 24552
170 2.0 33614.0 0.100997467552 33624 16719 2.0 26856.0 0.10099598076 26866 13406 2.0 56989.0 0.10099647623 56999 28130
180 2.0 38310.0 0.100994894597 38320 19061 2.0 35572.0 0.100995528786 35582 17702 2.0 60846.0 0.100998980114 60856 30034
190 2.0 43129.0 0.100995397736 43139 21383 2.0 31807.0 0.100994827711 31817 15819 2.0 76398.0 0.100999433494 76408 37495
200 2.0 48582.0 0.100995954042 48592 24093 2.0 37791.0 0.100996238968 37801 18766 2.0 79885.0 0.100999790997 79895 39221
