round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 5.0 18962.0 0.0100982265151 18972 10348 5.0 17004.0 0.0100985647378 17014 9323 5.0 20994.0 0.0100980415031 21004 11458 5.0 15207.0 0.0100970741447 15217 8351 5.0 13890.0 0.0100997342958 13900 7632 5.0 17296.0 0.010098666098 17306 9468
20 5.0 43821.0 0.0100995757844 43831 23826 5.0 38565.0 0.0100988952937 38575 20949 5.0 50423.0 0.010099093054 50433 27375 5.0 38696.0 0.0100996910643 38706 21059 5.0 34731.0 0.0100996774846 34741 18940 5.0 43529.0 0.0100995422899 43539 23670
30 5.0 75878.0 0.0100998524518 75888 40819 5.0 67261.0 0.010099944355 67271 36227 5.0 89834.0 0.0100996516428 89844 48222 5.0 69137.0 0.0100996250764 69147 37181 5.0 61260.0 0.0100999818797 61270 33096 5.0 80440.0 0.0100994770351 80450 43210
40 5.0 116371.0 0.0100999141969 116381 62326 5.0 101021.0 0.0100999402175 101031 54203 5.0 140716.0 0.0100999894396 140726 75204 5.0 107705.0 0.0100998121957 107715 57648 5.0 94515.0 0.0100994885049 94525 50781 5.0 129241.0 0.0100998261677 129251 69144
50 5.0 166185.0 0.0100997030346 166195 88777 5.0 141083.0 0.0100996595588 141093 75484 5.0 205855.0 0.0100998599077 205865 109821 5.0 155400.0 0.0100998645169 155410 83021 5.0 132889.0 0.0100999353288 132899 71055 5.0 189024.0 0.0100999471232 189034 100875
60 5.0 226762.0 0.0100997978862 226772 120863 5.0 189444.0 0.0100998245659 189454 101207 5.0 288943.0 0.0100998692509 288953 153850 5.0 213686.0 0.0100999245548 213696 113850 5.0 179079.0 0.010099842652 179089 95533 5.0 263693.0 0.0100998485734 263703 140505
70 5.0 299550.0 0.0100999680097 299560 159601 5.0 246953.0 0.0100998115905 246963 131692 5.0 399699.0 0.0100999476066 399709 212632 5.0 283748.0 0.0100999038917 283758 151068 5.0 234856.0 0.0100999087516 234866 125187 5.0 367264.0 0.0100998686704 367274 195482
80 5.0 385920.0 0.0100999799934 385930 205430 5.0 317430.0 0.0100998837152 317440 168945 5.0 542381.0 0.0100999495551 542391 288388 5.0 367346.0 0.0100999039644 367356 195516 5.0 301689.0 0.0100999334525 301699 160761 5.0 506198.0 0.0100999907431 506208 269264
90 5.0 489080.0 0.0100999362451 489090 260179 5.0 399962.0 0.0100999768557 399972 212828 5.0 711444.0 0.0100999618262 711454 378008 5.0 466549.0 0.0100998997589 466559 248382 5.0 380059.0 0.0100999662277 380069 202345 5.0 670832.0 0.0100999371092 670842 356649
100 5.0 609584.0 0.010099971578 609594 324037 5.0 500304.0 0.010099989889 500314 265956 5.0 919170.0 0.010099955286 919180 488239 5.0 583207.0 0.0100999685566 583217 310068 5.0 477942.0 0.0100999189429 477952 254366 5.0 876139.0 0.0100999655974 876149 465457
110 5.0 750678.0 0.0100999922151 750688 399118 5.0 606458.0 0.0100999778395 606468 322404 5.0 1158167.0 0.010099976281 1158177 615227 5.0 719633.0 0.0100999686075 719643 382399 5.0 585728.0 0.0100999943243 585738 311412 5.0 1107235.0 0.0100999771017 1107245 588103
120 5.0 913872.0 0.0100999759575 913882 485366 5.0 730718.0 0.0100999475367 730728 388286 5.0 1431808.0 0.0100999993566 1431818 760306 5.0 878870.0 0.010099969561 878880 467048 5.0 705640.0 0.0100999952445 705650 374973 5.0 1374386.0 0.0100999864126 1374396 729924
130 5.0 1102694.0 0.0100999854429 1102704 585581 5.0 870989.0 0.0100999913371 870999 462737 5.0 1749365.0 0.0100999887326 1749375 928743 5.0 1062267.0 0.0100999748166 1062277 564203 5.0 841071.0 0.0100999697591 841081 447009 5.0 1681158.0 0.0100999945493 1681168 892462
140 5.0 1319189.0 0.0100999784998 1319199 700631 5.0 1030086.0 0.0100999961621 1030096 547012 5.0 2131637.0 0.0100999773687 2131647 1131416 5.0 1273349.0 0.0100999778995 1273359 676256 5.0 995553.0 0.0100999856556 995563 528938 5.0 2051839.0 0.0100999915746 2051849 1089376
150 5.0 1569180.0 0.0100999967861 1569190 833361 5.0 1221985.0 0.0100999839434 1221995 649047 5.0 2550559.0 0.010099997741 2550569 1353991 5.0 1515814.0 0.0100999676781 1515824 805074 5.0 1180546.0 0.0100999822466 1180556 627028 5.0 2455844.0 0.0100999890672 2455854 1303770
160 5.0 1853693.0 0.0100999795819 1853703 984388 5.0 1446422.0 0.0100999885089 1446432 767903 5.0 3028920.0 0.0100999917405 3028930 1607911 5.0 1794078.0 0.0100999895218 1794088 952393 5.0 1394158.0 0.0100999671895 1394168 740452 5.0 2929738.0 0.0100999880105 2929748 1555076
170 5.0 2175445.0 0.010099981179 2175455 1154809 5.0 1686242.0 0.0100999867899 1686252 895292 5.0 3571757.0 0.0100999910154 3571767 1896102 5.0 2108283.0 0.0100999788736 2108293 1119315 5.0 1632583.0 0.0100999889969 1632593 866455 5.0 3457891.0 0.0100999934577 3457901 1835277
180 5.0 2547512.0 0.0100999826806 2547522 1352149 5.0 1999402.0 0.0100999830261 1999412 1061338 5.0 4176199.0 0.0100999946065 4176209 2216612 5.0 2470968.0 0.0100999831545 2470978 1311622 5.0 1928328.0 0.0100999930375 1928338 1024120 5.0 4054625.0 0.0100999984358 4054635 2152004
190 5.0 2964802.0 0.0100999846618 2964812 1573732 5.0 2292416.0 0.0100999856967 2292426 1216860 5.0 4877257.0 0.0100999938733 4877267 2588225 5.0 2878629.0 0.0100999909085 2878639 1528395 5.0 2228865.0 0.0100999895319 2228875 1183038 5.0 4724609.0 0.0100999957171 4724619 2507969
200 5.0 3434364.0 0.0100999981495 3434374 1822739 5.0 2632216.0 0.0100999879414 2632226 1397203 5.0 5664611.0 0.0100999934324 5664621 3005570 5.0 3337296.0 0.0100999966971 3337306 1771516 5.0 2556708.0 0.0100999980827 2556718 1357258 5.0 5504995.0 0.0100999993866 5505005 2921766
