round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 7.0 3954.0 0.00109862011775 3964.0 2061 7.0 3717.0 0.00109813978273 3727.0 1938 7.0 4294.0 0.00109976835959 4304.0 2238
20 7.0 3960.0 0.00109878095666 3970.0 2064 7.0 3759.0 0.00109933126263 3769.0 1960 7.0 4337.0 0.0010990127056 4347.0 2260
30 7.0 3948.0 0.00109845880923 3958.0 2058 7.0 3686.0 0.00109935665649 3696.0 1922 7.0 4258.0 0.00109888016507 4268.0 2219
40 7.0 3923.0 0.00109976764628 3933.0 2045 7.0 4179.0 0.00109874262676 4189.0 2178 7.0 4075.0 0.00109986078986 4085.0 2124
50 7.0 3948.0 0.00109845880923 3958.0 2058 7.0 4173.0 0.00109859017821 4183.0 2175 7.0 4209.0 0.00109949860417 4219.0 2194
60 7.0 3954.0 0.00109862011775 3964.0 2061 7.0 3711.0 0.00109796745675 3721.0 1935 7.0 3923.0 0.00109976764628 3933.0 2045
70 7.0 3948.0 0.00109845880923 3958.0 2058 7.0 3844.0 0.00109963626759 3854.0 2004 7.0 4039.0 0.00109892520784 4049.0 2105
80 7.0 3978.0 0.00109926067597 3988.0 2074 7.0 3923.0 0.00109976764628 3933.0 2045 7.0 3680.0 0.00109918470666 3690.0 1919
90 7.0 3960.0 0.00109878095666 3970.0 2064 7.0 3741.0 0.00109882377583 3751.0 1951 7.0 3869.0 0.00109830169474 3879.0 2017
100 7.0 3942.0 0.001098297029 3952.0 2055 7.0 3923.0 0.00109976764628 3933.0 2045 7.0 3905.0 0.0010992833247 3915.0 2036
110 7.0 3960.0 0.00109878095666 3970.0 2064 7.0 3644.0 0.00109814158571 3654.0 1900 7.0 4142.0 0.0010996767553 4152.0 2159
120 7.0 3954.0 0.00109862011775 3964.0 2061 7.0 3680.0 0.00109918470666 3690.0 1919 7.0 3668.0 0.00109883918554 3678.0 1913
130 7.0 3942.0 0.001098297029 3952.0 2055 7.0 3917.0 0.00109960668108 3927.0 2042 7.0 4051.0 0.00109923884394 4061.0 2112
140 7.0 3978.0 0.00109926067597 3988.0 2074 7.0 3990.0 0.00109957817789 4000.0 2080 7.0 3753.0 0.00109916262011 3763.0 1957
150 7.0 3984.0 0.00109941965669 3994.0 2077 7.0 4294.0 0.00109976835959 4304.0 2238 7.0 4088.0 0.00109828819747 4098.0 2131
160 7.0 3984.0 0.00109941965669 3994.0 2077 7.0 4045.0 0.0010990822494 4055.0 2109 7.0 4015.0 0.00109829253294 4025.0 2093
170 7.0 3954.0 0.00109862011775 3964.0 2061 7.0 3972.0 0.00109910123374 3982.0 2071 7.0 4240.0 0.00109843063449 4250.0 2210
180 7.0 3960.0 0.00109878095666 3970.0 2064 7.0 4045.0 0.0010990822494 4055.0 2109 7.0 3777.0 0.00109983410028 3787.0 1969
190 7.0 3948.0 0.00109845880923 3958.0 2058 7.0 4185.0 0.00109889465533 4195.0 2181 7.0 3954.0 0.00109862011775 3964.0 2061
200 7.0 3978.0 0.00109926067597 3988.0 2074 7.0 4337.0 0.0010990127056 4347.0 2260 7.0 4045.0 0.0010990822494 4055.0 2109
