round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 7.0 28038.0 0.00109977473192 28048 14965 7.0 25143.0 0.00109976958465 25153 13427 7.0 31042.0 0.0010998967045 31052 16565 7.0 22485.0 0.0010998305259 22495 12009 7.0 20539.0 0.00109974975621 20549 11005 7.0 25575.0 0.00109971546065 25585 13654
20 7.0 64796.0 0.00109994274326 64806 34206 7.0 57023.0 0.00109999866318 57033 30198 7.0 74557.0 0.00109997840318 74567 39273 7.0 57218.0 0.00109994721281 57228 30251 7.0 51355.0 0.00109996431901 51365 27215 7.0 64364.0 0.00109996541487 64374 33966
30 7.0 112197.0 0.00109999924952 112207 58771 7.0 99456.0 0.00109997207605 99466 52239 7.0 132833.0 0.00109997119161 132843 69523 7.0 102229.0 0.00109999512591 102239 53596 7.0 90583.0 0.00109994117846 90593 47621 7.0 118942.0 0.00109998022019 118952 62326
40 7.0 172073.0 0.00109996475796 172083 89883 7.0 149375.0 0.00109999852615 149385 78177 7.0 208071.0 0.00109997510921 208081 108630 7.0 159258.0 0.00109999421056 159268 83168 7.0 139754.0 0.00109997685822 139764 73066 7.0 191103.0 0.00109996508474 191113 99839
50 7.0 245729.0 0.0010999928152 245739 128028 7.0 208612.0 0.00109998547346 208622 108970 7.0 304388.0 0.00109999077866 304398 158423 7.0 229783.0 0.0010999771372 229793 119799 7.0 196497.0 0.00109998748658 196507 102580 7.0 279501.0 0.00109999863537 279511 145631
60 7.0 335302.0 0.00109998563218 335312 174498 7.0 280122.0 0.00109998058399 280132 146003 7.0 427246.0 0.00109999775121 427256 222542 7.0 315968.0 0.00109998449899 315978 164589 7.0 264796.0 0.00109997624093 264806 138132 7.0 389910.0 0.00109999538781 389920 202984
70 7.0 442931.0 0.00109999672667 442941 230512 7.0 365157.0 0.00109999749076 365167 190160 7.0 591017.0 0.00109999110357 591027 307276 7.0 419565.0 0.00109999219533 419575 218283 7.0 347271.0 0.00109998530173 347281 180948 7.0 543056.0 0.00109999037394 543066 282486
80 7.0 570643.0 0.00109999083253 570653 296784 7.0 469369.0 0.00109998939156 469379 244259 7.0 801994.0 0.00109999627789 802004 416986 7.0 543177.0 0.0010999993805 543187 282427 7.0 446094.0 0.00109998865868 446104 232062 7.0 748493.0 0.00109999080292 748503 389260
90 7.0 723180.0 0.001099996757 723190 375896 7.0 591406.0 0.00109999415968 591416 307658 7.0 1051980.0 0.00109999640496 1051990 546551 7.0 689864.0 0.00109999609191 689874 358469 7.0 561976.0 0.00109999683995 561986 292188 7.0 991928.0 0.00109999933252 991938 515533
100 7.0 901364.0 0.00109999981972 901374 468543 7.0 739777.0 0.00109999896086 739787 384654 7.0 1359135.0 0.00109999564678 1359145 705991 7.0 862362.0 0.00109999517886 862372 448382 7.0 706711.0 0.0010999913769 706721 367375 7.0 1295507.0 0.00109999729127 1295517 673089
110 7.0 1109994.0 0.00109999794374 1110004 576825 7.0 896742.0 0.00109999844217 896752 466033 7.0 1712529.0 0.00109999911438 1712539 889702 7.0 1064089.0 0.00109999531691 1064099 552872 7.0 866090.0 0.00109999641876 866100 450247 7.0 1637218.0 0.00109999998762 1637228 850799
120 7.0 1351301.0 0.00109999934858 1351311 702215 7.0 1080479.0 0.00109999840875 1080489 561402 7.0 2117151.0 0.00109999742764 2117161 1099586 7.0 1299545.0 0.00109999912801 1299555 675116 7.0 1043399.0 0.00109999338409 1043409 542218 7.0 2032243.0 0.00109999781191 2032253 1055637
130 7.0 1630504.0 0.00109999859051 1630514 846959 7.0 1287893.0 0.00109999488112 1287903 669187 7.0 2586708.0 0.00109999718398 2586718 1343783 7.0 1570726.0 0.00109999895733 1570736 816224 7.0 1243654.0 0.00109999506544 1243664 646139 7.0 2485853.0 0.00109999916584 2485863 1291341
140 7.0 1950625.0 0.00109999921197 1950635 1013218 7.0 1523142.0 0.00109999930417 1523152 791430 7.0 3151955.0 0.00109999926261 3151965 1636688 7.0 1882844.0 0.00109999693693 1882854 978057 7.0 1472080.0 0.0010999955744 1472090 764597 7.0 3033962.0 0.00109999972536 3033972 1575927
150 7.0 2320276.0 0.00109999998803 2320286 1204951 7.0 1806894.0 0.00109999939174 1806904 938598 7.0 3771398.0 0.00109999831515 3771408 1958615 7.0 2241365.0 0.00109999921623 2241375 1164256 7.0 1745620.0 0.00109999921834 1745630 906888 7.0 3631346.0 0.00109999939375 3631356 1885594
160 7.0 2740972.0 0.00109999903671 2740982 1423555 7.0 2138759.0 0.0010999996134 2138769 1111004 7.0 4478728.0 0.00109999931342 4478738 2326048 7.0 2652823.0 0.00109999766057 2652833 1377915 7.0 2061478.0 0.00109999845843 2061488 1070860 7.0 4332072.0 0.00109999878526 4332082 2249612
170 7.0 3216732.0 0.00109999962894 3216742 1670660 7.0 2493370.0 0.00109999945335 2493380 1294828 7.0 5281397.0 0.0010999987787 5281407 2742661 7.0 3117423.0 0.00109999825879 3117433 1619225 7.0 2414027.0 0.00109999932894 2414037 1254011 7.0 5113028.0 0.00109999983111 5113038 2655337
