round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 5.0 3756.0 0.0100915293066 3766 2069 5.0 3114.0 0.010095571792 3124 1731 5.0 3698.0 0.0100969925537 3708 2045
20 5.0 5126.0 0.0100903802812 5136 2817 5.0 3834.0 0.0100936165303 3844 2114 5.0 6894.0 0.0100972611361 6904 3763
30 5.0 6742.0 0.0100958527462 6752 3703 5.0 6002.0 0.0100924504795 6012 3306 5.0 9395.0 0.0100966031864 9405 5156
40 5.0 8667.0 0.010096256663 8677 4739 5.0 6507.0 0.0100999410237 6517 3582 5.0 11476.0 0.0100981084014 11486 6307
50 5.0 10785.0 0.0100980184673 10795 5934 5.0 8194.0 0.0100960327238 8204 4486 5.0 16831.0 0.0100992919075 16841 9227
60 5.0 13076.0 0.0100982575747 13086 7166 5.0 10366.0 0.0100953945555 10376 5685 5.0 25251.0 0.0100983946673 25261 13788
70 5.0 15803.0 0.0100984179965 15813 8667 5.0 12097.0 0.0100984977988 12107 6630 5.0 32436.0 0.0100995253037 32446 17670
80 5.0 18575.0 0.0100991853938 18585 10175 5.0 15741.0 0.0100993704646 15751 8612 5.0 36183.0 0.0100995647443 36193 19715
90 5.0 22532.0 0.0100987971601 22542 12315 5.0 19904.0 0.0100980351499 19914 10885 5.0 40613.0 0.0100993190442 40623 22072
100 5.0 26378.0 0.0100984200186 26388 14433 5.0 22363.0 0.010099597283 22373 12213 5.0 43031.0 0.0100999063759 43041 23349
110 5.0 31046.0 0.0100991644352 31056 16939 5.0 20730.0 0.0100998461782 20740 11375 5.0 50933.0 0.0100991204417 50943 27613
120 5.0 35003.0 0.0100989168925 35013 19061 5.0 25078.0 0.0100988815171 25088 13740 5.0 57423.0 0.0100995658394 57433 31036
130 5.0 40428.0 0.0100992085917 40438 21970 5.0 29919.0 0.0100991710801 29929 16290 5.0 68207.0 0.0100999470191 68217 36822
140 5.0 45841.0 0.0100990640537 45851 24912 5.0 34534.0 0.0100990627296 34544 18820 5.0 79798.0 0.0100996988003 79808 42902
150 5.0 53368.0 0.0100990940438 53378 28929 5.0 41440.0 0.0100990022195 41450 22520 5.0 94716.0 0.0100997722846 94726 50883
160 5.0 59615.0 0.01009979669 59625 32203 5.0 52265.0 0.010099740656 52275 28332 5.0 99183.0 0.0100996712406 99193 53230
170 5.0 67163.0 0.0100994173414 67173 36148 5.0 53660.0 0.010099123835 53670 29075 5.0 113866.0 0.0100999775093 113876 61001
180 5.0 76545.0 0.010099409665 76555 41195 5.0 71074.0 0.0100998089757 71084 38277 5.0 121574.0 0.0100999237085 121584 65153
190 5.0 86173.0 0.0100998563408 86183 46284 5.0 63551.0 0.0100999602966 63561 34273 5.0 152648.0 0.0100999811467 152658 81645
200 5.0 97069.0 0.0100996077755 97079 52079 5.0 75508.0 0.0100997367862 75518 40625 5.0 159616.0 0.0100998311545 159626 85229
