round user_median user_1q user_3q user_min user_max active_user_median active_user_1q active_user_3q active_user_min active_user_max inactive_user_median inactive_user_1q inactive_user_3q inactive_user_min inactive_user_max share_median shares_1q shares_3q shares_min shares_max shareops_median shareops_1q shareops_3q shareops_min shareops_max sharenoretr_median sharenoretr_1q sharenoretr_3q sharenoretr_min sharenoretr_max shareneverretr_median shareneverretr_1q shareneverretr_3q shareneverretr_min shareneverretr_max productive_median productive_q1 productive_3q productive_min productive_max friends_median friends_1q friends_3q friends_min friends_max finactive_median finactive_1q finactive_3q finactive_min finactive_max
0 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200000 200000 200000 200000 200000 0 0 0 0 0 3
10 126924 124436 129363 116788 137047 116054 113682 118351 106407 125542 10882 10720 11029 10137 11537 1102185 1074663 1129946 981774 1228197 331573 326576 336432 309270 351362 460955 452122 470241 422711 502241 370625 364611 376284 347153 394010 90663 86715 94589 74406 109631 322472 310005 334833 271506 383496 24897 24150 25684 21683 28234 3
20 156902 153545 160434 139010 172028 133313 130245 136607 117232 147097 23589 23210 23973 21778 25413 2856438 2767833 2941833 2466334 3299318 775708 761590 788597 711422 834537 1071076 1048278 1094324 962537 1184480 946308 927391 963866 867451 1032687 125773 119953 132328 95086 159681 496118 475732 520352 390266 612106 62347 60210 64547 52703 73897 3
30 187043 183192 191236 166146 210337 149147 145667 152675 130842 169299 37952 37288 38619 34223 41038 5193811 5030702 5385655 4326650 6122150 1275227 1251981 1300950 1150522 1392142 1862194 1818104 1909275 1641224 2091575 1694735 1657657 1734097 1510574 1872557 167906 159944 176765 126480 219018 715380 686270 750621 560408 912192 115467 110857 119664 93519 139006 3
40 216899 212009 222003 191404 239002 163194 159007 167363 143030 181217 53778 52823 54772 48236 58454 8219578 7943207 8505975 6718551 9755517 1825091 1793004 1861392 1633162 1999328 2860563 2791847 2930776 2475417 3225004 2644806 2583073 2708349 2310132 2967550 216546 204036 228548 164348 276695 982582 935196 1029151 763538 1221300 186455 179668 193692 149506 225643 3
50 246649 241208 252450 218685 274855 175931 171536 180468 154205 198083 70949 69722 72300 63333 76978 12042819 11604272 12477142 9782015 14374170 2420074 2378103 2468673 2162176 2642755 4094234 3989814 4204270 3517252 4635007 3820161 3730427 3919998 3298759 4311984 271862 256432 286308 203878 362230 1302960 1240493 1365247 1004056 1670642 279024 268154 290037 221691 337093 3
60 276451 270814 282563 251773 303815 187509 182857 191715 168282 207879 89339 87831 91078 80309 97151 16722782 16124725 17369385 13702102 20164139 3057865 3004574 3119386 2752263 3327954 5602066 5452591 5755040 4822959 6387617 5265971 5130132 5410202 4536835 5976306 333334 316242 351513 264157 420455 1680210 1600412 1754483 1380868 2062048 396704 381441 412996 318781 488150 3
70 306510 300162 313291 277199 335971 197671 193075 202363 178225 218401 108851 106942 111054 97945 118464 22426624 21614459 23297081 18651555 26837979 3732252 3663002 3805965 3366214 4052390 7413830 7212355 7625841 6359458 8476619 7007918 6819445 7206486 6027116 8026011 404091 383701 426525 323095 499829 2124414 2025528 2216075 1733934 2586956 542166 520631 564388 441487 666216 3
80 336790 330077 343556 302447 363593 207333 202480 212079 186191 227738 129431 127076 131796 116256 140438 29330053 28130935 30444566 24152061 34687551 4442592 4356460 4523626 3999662 4814627 9591058 9306683 9866950 8166663 10937182 9099117 8841192 9365655 7780413 10418677 482966 458237 509659 386250 610741 2642640 2520790 2759530 2115230 3144564 720636 690533 751429 583161 867951 3
90 366767 359294 373818 327294 398994 215788 210641 220580 192285 238029 150854 148017 153576 135009 163112 37495015 35987426 38907727 30524764 44002899 5180848 5082781 5274553 4650471 5612081 12159441 11784194 12520442 10276525 13877187 11588151 11235786 11932764 9826501 13225074 570043 542148 602143 450024 719158 3235205 3091348 3375941 2564044 3920184 936350 896130 974094 745229 1120864 3
100 396091 388303 404064 356525 427027 223161 218032 227958 197750 244161 173171 169825 176260 155092 187098 47079241 45196869 48790685 38429256 54720127 5944236 5830275 6057255 5347213 6426516 15183307 14710647 15647647 12813232 17326517 14511825 14052942 14956251 12246829 16606164 667551 636501 699324 529856 814261 3912870 3741746 4083682 3196670 4605120 1191979 1142707 1239872 953560 1415193 3
110 426413 418004 434257 386661 464067 230172 225208 235015 204451 255701 196116 192451 199664 176674 211993 58225862 56034196 60429595 48220660 67475923 6736279 6610050 6863573 6092122 7266843 18719462 18123627 19326252 15836582 21409808 17943363 17380165 18510649 15147921 20533385 777778 741456 815010 572832 962395 4692526 4498670 4881117 3741462 5660116 1494222 1432996 1553822 1219853 1761363 3
120 456083 447705 464557 414233 494890 236541 231261 241648 211046 260438 219697 215740 223708 198912 237087 71174902 68491898 73876378 59292722 82261438 7549651 7413086 7691900 6848373 8127900 22823066 22116041 23567009 19313327 26033017 21928756 21248317 22640530 18543052 25067679 899288 854972 947526 685341 1116017 5591973 5349466 5817726 4449902 6696646 1846287 1770642 1919124 1527834 2164646 3
130 485713 476970 494964 445759 527957 242039 236619 247530 220082 266967 243843 239435 248282 221783 263352 86243734 82794426 89299360 72406037 100304269 8378874 8231311 8534378 7639000 9034292 27589554 26694457 28493040 23459421 31353494 26546152 25691995 27445606 22529351 30270834 1033763 980267 1085577 819569 1262652 6602381 6295915 6861281 5375794 7936380 2257689 2164637 2343869 1878657 2646262 3
140 515488 506293 525022 474270 556340 247151 241397 252610 226642 271040 268527 263980 273346 245611 290063 103266045 99388414 106912136 86411781 120532536 9230879 9073674 9399355 8454385 9943565 33084772 32027874 34139500 28276534 37523698 31897826 30876594 32933801 27187383 36188041 1183272 1123410 1242586 963454 1479820 7713726 7381910 8060787 6334430 9113968 2728611 2622833 2834493 2261082 3218572 3
150 545676 535668 554935 503652 585041 251614 246188 257286 231944 276234 293872 288849 299065 269764 316818 122914929 118320577 127287808 102387566 143177981 10100802 9921270 10275960 9282759 10848379 39360270 38074783 40636978 33770496 44880694 38000911 36759496 39246858 32565508 43337909 1343088 1280200 1412631 1112696 1656321 9006058 8620104 9387830 7470432 10656742 3277742 3146687 3402866 2712152 3846470 3
160 575486 565324 585268 528346 618054 256047 250314 261413 232635 279706 319438 314027 325034 294313 343481 145247529 139633287 150505219 120712464 168954068 10980320 10795059 11169683 10140175 11769782 46484634 45023513 48040489 39786026 53222177 45016545 43535735 46468220 38557268 51504940 1525729 1450754 1602061 1203111 1886954 10439294 10010578 10885299 8514030 12368514 3898381 3741926 4045999 3233239 4555283 3
170 605228 595153 615747 559016 650714 259911 254540 265718 240018 284721 345551 339615 351379 318244 370591 170548599 164053311 177061611 141446811 197270131 11878522 11672824 12081089 10969968 12719500 54695244 52889442 56475639 46572972 62661182 52967522 51226533 54690993 45141522 60696331 1733457 1646379 1811859 1428695 2183271 12072871 11585114 12540257 9981412 14333818 4610500 4432163 4783503 3808118 5346067 3
