round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 2.0 186030.0 0.100904794038 186040 90458 2.0 155558.0 0.100972187861 155568 75937 2.0 222831.0 0.100966317992 222841 108388
20 2.0 256868.0 0.100974616394 256878 124836 2.0 195786.0 0.10094640736 195796 95367 2.0 312493.0 0.100983443984 312503 151810
30 2.0 344759.0 0.100974439408 344769 167369 2.0 268950.0 0.100996255346 268960 130787 2.0 450918.0 0.100969268994 450928 218826
40 2.0 444157.0 0.100991633219 444167 215718 2.0 340285.0 0.100973352437 340295 165421 2.0 530054.0 0.100967950201 530064 257031
50 2.0 564273.0 0.100966715401 564283 273749 2.0 449793.0 0.100989912959 449803 218415 2.0 665023.0 0.100976303729 665033 322557
60 2.0 691895.0 0.100988456571 691905 335412 2.0 589024.0 0.100988188639 589034 285625 2.0 846711.0 0.100994879851 846721 410582
70 2.0 835612.0 0.100991051265 835622 405069 2.0 684142.0 0.100996752813 684152 331575 2.0 927608.0 0.10099453386 927618 449556
80 2.0 1012741.0 0.100984943197 1012751 490766 2.0 795150.0 0.10098727534 795160 385371 2.0 1067405.0 0.100989347097 1067415 517508
90 2.0 1176090.0 0.100985637474 1176100 569625 2.0 926424.0 0.100990397633 926434 449127 2.0 1342413.0 0.100995640864 1342423 650397
100 2.0 1382282.0 0.100996131827 1382292 669744 2.0 1166003.0 0.100990393135 1166013 565228 2.0 1482953.0 0.100986563533 1482963 718676
110 2.0 1597699.0 0.100988587618 1597709 773787 2.0 1417661.0 0.100993889488 1417671 686610 2.0 1804223.0 0.100989260454 1804233 873928
120 2.0 1841010.0 0.100993325619 1841020 892006 2.0 1585675.0 0.100993174108 1585685 767849 2.0 1987238.0 0.100992151828 1987248 962536
130 2.0 2147902.0 0.100995875022 2147912 1040185 2.0 1914570.0 0.100999358231 1914580 927244 2.0 2228760.0 0.100991795933 2228770 1079619
140 2.0 2443446.0 0.100991518385 2443456 1183848 2.0 2242051.0 0.100998494398 2242061 1085632 2.0 2749557.0 0.100993457021 2749567 1331698
150 2.0 2798359.0 0.1009927398 2798369 1355264 2.0 2480488.0 0.100999940101 2480498 1201273 2.0 3175885.0 0.100997538314 3175895 1537975
160 2.0 3022089.0 0.10099971725 3022099 1463719 2.0 2529458.0 0.100996689714 2529468 1225309 2.0 3535037.0 0.100995421565 3535047 1711373
170 2.0 3556622.0 0.100995362971 3556632 1722217 2.0 2946750.0 0.100993782998 2946760 1427296 2.0 4044751.0 0.100996175805 4044761 1957991
180 2.0 4077483.0 0.100999524899 4077493 1974543 2.0 3527892.0 0.100998599289 3527902 1708571 2.0 4357284.0 0.100997304054 4357294 2110362
190 2.0 4572197.0 0.100998482362 4572207 2214045 2.0 4276630.0 0.100999953595 4276640 2070961 2.0 5101187.0 0.100999797396 5101197 2469916
200 2.0 5159503.0 0.100998695913 5159513 2498088 2.0 4508756.0 0.10099632763 4508766 2183282 2.0 6591368.0 0.100997917491 6591378 3191853
