round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 7.0 2803455.0 0.00109993590255 2803465 1456173 7.0 2570911.0 0.00109978656103 2570921 1335619 7.0 3054541.0 0.00109995825355 3054551 1585860 7.0 2254125.0 0.00109979029885 2254135 1170957 7.0 2111353.0 0.00109984979916 2111363 1096602 7.0 2396310.0 0.00109992362531 2396320 1244556
20 7.0 6514076.0 0.00109998044396 6514086 3382947 7.0 5854037.0 0.00109988310031 5854047 3039995 7.0 7203780.0 0.00109997731313 7203790 3739930 7.0 5755308.0 0.00109991802512 5755318 2987996 7.0 5275751.0 0.00109985995768 5275761 2739738 7.0 6280587.0 0.00109999829387 6280597 3261001
30 7.0 11325494.0 0.00109998572675 11325504 5881103 7.0 9981624.0 0.00109996598396 9981634 5182564 7.0 12720575.0 0.00109996678734 12720585 6604145 7.0 10307035.0 0.00109999068043 10307045 5350626 7.0 9187074.0 0.00109993300968 9187084 4770793 7.0 11388557.0 0.00109996053802 11388567 5912511
40 7.0 17397363.0 0.00109999142207 17397373 9032083 7.0 15055017.0 0.00109997421 15055027 7816401 7.0 19613804.0 0.00109999734685 19613814 10183734 7.0 16085206.0 0.00109997552233 16085216 8352235 7.0 14049832.0 0.00109994844306 14049842 7294580 7.0 18048050.0 0.00109998553628 18048060 9370361
50 7.0 24900334.0 0.00109998072254 24900344 12927381 7.0 21391252.0 0.0010999770471 21391262 11105755 7.0 28189207.0 0.00109998153007 28189217 14635208 7.0 23233461.0 0.0010999854681 23233471 12062040 7.0 20062459.0 0.00109996191762 20062469 10415783 7.0 26224584.0 0.00109999922791 26224594 13614656
60 7.0 34070666.0 0.00109998263599 34070676 17689148 7.0 29332259.0 0.00109999083783 29332269 15229048 7.0 38848217.0 0.00109998584426 38848227 20167017 7.0 32026571.0 0.00109999015735 32026581 16627509 7.0 27592135.0 0.0010999840861 27592145 14324876 7.0 36346706.0 0.00109998567903 36346716 18868738
70 7.0 45089430.0 0.00109998762021 45089440 23408347 7.0 38676958.0 0.00109998610634 38676968 20079319 7.0 51553019.0 0.00109999964949 51553029 26764639 7.0 42620718.0 0.00109999421999 42620728 22127166 7.0 36655716.0 0.00109998696233 36655726 19030167 7.0 48812611.0 0.00109998468794 48812621 25342873
80 7.0 58330858.0 0.00109999250053 58330868 30283284 7.0 49667963.0 0.00109999483668 49667973 25784795 7.0 66517682.0 0.00109999560524 66517692 34531977 7.0 55339017.0 0.00109998639196 55339027 28729728 7.0 47318913.0 0.00109998780893 47318923 24565416 7.0 63364277.0 0.00109999139789 63364287 32899020
90 7.0 73951241.0 0.00109999229662 73951251.0 38391792 7.0 62499725.0 0.00109999286701 62499735 32446455 7.0 84398187.0 0.00109999550021 84398197.0 43815324 7.0 70476751.0 0.00109999457439 70476761.0 36588010 7.0 59762801.0 0.00109998903193 59762811 31027135 7.0 80432174.0 0.00109999513149 80432184.0 41756368
100 7.0 92341707.0 0.0010999981009 92341717.0 47939202 7.0 77927432.0 0.00109999556398 77927442.0 40456032 7.0 105376317.0 0.00109999429302 105376327.0 54706120 7.0 88257925.0 0.00109999541179 88257935.0 45819107 7.0 74482729.0 0.00109999104356 74482739.0 38667714 7.0 100995264.0 0.00109999537696 100995274.0 52431696
