round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 5.0 1895955.0 0.010099432405 1895965 1006721 5.0 1738711.0 0.0100977927579 1738721 922998 5.0 2065841.0 0.0100976919438 2065851 1097028 5.0 1524425.0 0.0100992212072 1524435 809523 5.0 1427953.0 0.0100967499105 1427963 758342 5.0 1620610.0 0.0100992302772 1620620 860385
20 5.0 4405476.0 0.0100990811701 4405486 2338359 5.0 3959037.0 0.0100991297722 3959047 2101508 5.0 4871880.0 0.0100995038019 4871890 2585751 5.0 3892308.0 0.0100988374052 3892318 2065731 5.0 3567951.0 0.010098924152 3567961 1893543 5.0 4247587.0 0.0100989645673 4247597 2254210
30 5.0 7659394.0 0.0100994305779 7659404 4064760 5.0 6750524.0 0.0100994147973 6750534 3582618 5.0 8602775.0 0.0100999291315 8602785 4565047 5.0 6970635.0 0.0100993099408 6970645 3699780 5.0 6213074.0 0.010099998124 6213084 3298013 5.0 7701957.0 0.0100998240195 7701967 4087585
40 5.0 11765663.0 0.0100999556243 11765673 6243804 5.0 10181617.0 0.0100995560278 10181627 5403340 5.0 13264704.0 0.0100996793488 13264714 7039343 5.0 10878306.0 0.010099663023 10878316 5772342 5.0 9501732.0 0.010099830911 9501742 5043205 5.0 12205750.0 0.0100997800242 12205760 6477368
50 5.0 16839834.0 0.0100999260668 16839844 8936434 5.0 14466652.0 0.0100999942165 14466662 7677366 5.0 19064107.0 0.0100998200252 19064117 10115669 5.0 15712561.0 0.0100999073254 15712571 8338276 5.0 13568059.0 0.0100996987912 13568069 7199988 5.0 17735484.0 0.0100998393262 17735494 9411969
60 5.0 23041666.0 0.0100998675501 23041676 12227551 5.0 19837159.0 0.0100998393429 19837169 10527227 5.0 26272717.0 0.0100998146845 26272727 13942244 5.0 21659271.0 0.0100999000186 21659281 11493170 5.0 18660335.0 0.0100997768332 18660345 9902285 5.0 24580906.0 0.0100999357366 24580916 13043701
70 5.0 30493530.0 0.0100999335652 30493540 16182085 5.0 26156858.0 0.0100998886053 26156868 13880597 5.0 34864819.0 0.010099970852 34864829 18500023 5.0 28824018.0 0.0100998843836 28824028 15295676 5.0 24789916.0 0.0100998849653 24789926 13155927 5.0 33011511.0 0.0100998679823 33011521 17518663
80 5.0 39448558.0 0.0100999865092 39448568 20933527 5.0 33589963.0 0.0100999550693 33589973 17824063 5.0 44985282.0 0.010099941711 44985292 23871428 5.0 37425217.0 0.0100999334608 37425227 19859872 5.0 32001313.0 0.0100999257527 32001323 16981776 5.0 42852677.0 0.0100998986193 42852687 22740147
90 5.0 50012541.0 0.0100999070759 50012551.0 26540160 5.0 42267925.0 0.0100999829387 42267935 22430872 5.0 57077687.0 0.0100999509062 57077697.0 30289421 5.0 47662751.0 0.0100999469993 47662761.0 25293197 5.0 40417001.0 0.01009992171 40417011 21446711 5.0 54395474.0 0.0100999816594 54395484.0 28866051
100 5.0 62449807.0 0.0100999733786 62449817.0 33140244 5.0 52701532.0 0.0100999935092 52701542.0 27967127 5.0 71264917.0 0.0100999975424 71264927.0 37818159 5.0 59688025.0 0.0100999223851 59688035.0 31674650 5.0 50371929.0 0.0100999506379 50371939.0 26730877 5.0 68302064.0 0.0100999988404 68302074.0 36245862
