round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 2.0 266382.0 0.100962875596 266392 129548 2.0 233541.0 0.100981263275 233551 113629 2.0 310679.0 0.100937630663 310689 150876 2.0 80452.0 0.100835888413 80462 39523 2.0 77983.0 0.100999599959 77993 38313 2.0 87848.0 0.100865084893 87858 43119
20 2.0 608068.0 0.100983339414 608078 294824 2.0 517015.0 0.100963098086 517025 250694 2.0 720443.0 0.100976739797 720453 349228 2.0 351200.0 0.100989771214 351210 170422 2.0 321229.0 0.100973327847 321239 156082 2.0 407950.0 0.100971648836 407960 198148
30 2.0 1208367.0 0.100985038089 1208377 585444 2.0 1010202.0 0.100982508896 1010212 489575 2.0 1439833.0 0.100994325054 1439843 697699 2.0 863608.0 0.100989290298 863618 418514 2.0 741252.0 0.100977545861 741262 359393 2.0 989015.0 0.100984484852 989025 479311
40 2.0 2131572.0 0.100996432773 2131582 1032274 2.0 1733855.0 0.100992784922 1733865 839599 2.0 2523076.0 0.10099982273 2523086 1221835 2.0 1687415.0 0.100997706835 1687425 817798 2.0 1393570.0 0.100997543259 1393580 675173 2.0 1993122.0 0.100997747149 1993132 965755
50 2.0 3446360.0 0.100995444367 3446370 1668802 2.0 2789476.0 0.100997725571 2789486 1350656 2.0 4101152.0 0.100996454204 4101162 1985385 2.0 2882187.0 0.100993772146 2882197 1396189 2.0 2339683.0 0.100999235217 2339693 1132869 2.0 3436229.0 0.100994233642 3436239 1664146
60 2.0 5237301.0 0.100999108896 5237311 2535561 2.0 4262596.0 0.10099827929 4262606 2064466 2.0 6298463.0 0.100996746553 6298473 3049769 2.0 4545506.0 0.100996103321 4545516 2201597 2.0 3673572.0 0.100999902299 3673582 1778816 2.0 5451752.0 0.100997040021 5451762 2640109
70 2.0 7578678.0 0.100997492038 7578688 3669368 2.0 6161644.0 0.100999900131 6161654 2983427 2.0 9107429.0 0.100998099016 9107439 4410344 2.0 6743066.0 0.100998292808 6743076 3264746 2.0 5477602.0 0.100996453644 5477612 2652449 2.0 8179821.0 0.100998505268 8179831 3960702
80 2.0 10598266.0 0.10099869442 10598276 5130388 2.0 8577901.0 0.100998472759 8577911 4152951 2.0 12603455.0 0.100998716823 12603465 6101458 2.0 9585625.0 0.10099795353 9585635 4640178 2.0 7782751.0 0.100999619072 7782761 3768662 2.0 11536050.0 0.100999585478 11536060 5585432
90 2.0 14365593.0 0.100999314185 14365603 6955279 2.0 11581354.0 0.100999434245 11581364 5606401 2.0 17013906.0 0.100999355435 17013916 8237670 2.0 13189603.0 0.100998938825 13189613 6385343 2.0 10655030.0 0.100998245957 10655040 5158210 2.0 15671493.0 0.100999674915 15671503 7586452
100 2.0 19018871.0 0.100998954419 19018881 9207619 2.0 15369019.0 0.100998650496 15369029 7439832 2.0 22437901.0 0.100999312517 22437911 10863794 2.0 17636589.0 0.100999176639 17636599 8538485 2.0 14203016.0 0.100999329209 14203026 6876184 2.0 20955048.0 0.100999210775 20955058 10144224
