round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 5.0 371630.0 0.0100869731148 371640 197641 5.0 310858.0 0.0100866527409 310868 165469 5.0 445231.0 0.01009210951 445241 236899
20 5.0 513268.0 0.0100912796989 513278 272878 5.0 391186.0 0.0100883449218 391196 208219 5.0 624393.0 0.0100952383489 624403 331670
30 5.0 688859.0 0.0100934603855 688869 366008 5.0 537450.0 0.010092685749 537460 285797 5.0 900918.0 0.0100953292678 900928 478536
40 5.0 887457.0 0.0100979596576 887467 471379 5.0 679885.0 0.0100957243399 679895 361424 5.0 1058954.0 0.0100985264421 1058964 562306
50 5.0 1127373.0 0.0100957935691 1127383 598710 5.0 898693.0 0.0100989411407 898703 477651 5.0 1328623.0 0.0100995682041 1328633 705516
60 5.0 1382395.0 0.0100993643548 1382405 734187 5.0 1176924.0 0.0100966206625 1176934 625158 5.0 1691811.0 0.0100980592582 1691821 898056
70 5.0 1669612.0 0.0100978140919 1669622 886142 5.0 1366942.0 0.0100999635019 1366952 725896 5.0 1853408.0 0.0100991308742 1853418 984200
80 5.0 2023441.0 0.0100985147987 2023451 1074527 5.0 1588750.0 0.0100974254773 1588760 843665 5.0 2132705.0 0.0100984789447 2132715 1132126
90 5.0 2349790.0 0.0100990965326 2349800 1247183 5.0 1851024.0 0.0100986466769 1851034 982801 5.0 2682213.0 0.0100993273827 2682223 1423628
100 5.0 2761882.0 0.0100992885723 2761892 1466097 5.0 2329703.0 0.010098801303 2329713 1236839 5.0 2962853.0 0.0100999748177 2962863 1572841
110 5.0 3192199.0 0.0100990495852 3192209 1694224 5.0 2832561.0 0.0100989414464 2832571 1503494 5.0 3604823.0 0.0100993525455 3604833 1913361
120 5.0 3678410.0 0.0100991390669 3678420 1952561 5.0 3168275.0 0.0100985658901 3168285 1681988 5.0 3970538.0 0.0100993780187 3970548 2107824
130 5.0 4291602.0 0.0100996269477 4291612 2277943 5.0 3825470.0 0.0100994683436 3825480 2030660 5.0 4453060.0 0.0100997776057 4453070 2363779
140 5.0 4882046.0 0.0100992689945 4882056 2590903 5.0 4479751.0 0.0100998546337 4479761 2377714 5.0 5493657.0 0.0100997612417 5493667 2915146
150 5.0 5591159.0 0.0100996378203 5591169 2967748 5.0 4956188.0 0.0100999379702 4956198 2630886 5.0 6345585.0 0.010099799631 6345595 3367819
160 5.0 6038389.0 0.0100995204253 6038399 3204240 5.0 5053958.0 0.0100999127886 5053968 2682213 5.0 7063137.0 0.0100996699203 7063147 3748355
170 5.0 7106222.0 0.0100999538145 7106232 3771614 5.0 5887650.0 0.0100998518517 5887660 3124694 5.0 8081551.0 0.0100999321714 8081561 4289386
180 5.0 8147083.0 0.010099915619 8147093 4323096 5.0 7048992.0 0.0100994970052 7049002 3741439 5.0 8706084.0 0.0100997344601 8706094 4620257
190 5.0 9135497.0 0.0100999826232 9135507 4847911 5.0 8545030.0 0.010099795925 8545040 4535109 5.0 10192587.0 0.0100996141891 10192597 5409355
200 5.0 10309003.0 0.0100998556377 10309013 5471193 5.0 9008656.0 0.0100999287963 9008666 4781061 5.0 13169968.0 0.0100996307036 13169978 6988968
