round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 2.0 948955.0 0.100984113033 948965 460002 2.0 870211.0 0.100987056018 870221 421784 2.0 1033941.0 0.100985804818 1033951 501284 2.0 763025.0 0.100975894468 763035 369922 2.0 714653.0 0.10099031779 714663 346518 2.0 811110.0 0.100991180956 811120 393330
20 2.0 2204876.0 0.100995349169 2204886 1067787 2.0 1981437.0 0.100995857297 1981447 959904 2.0 2438280.0 0.100999244168 2438290 1181343 2.0 1948008.0 0.100998092398 1948018 943576 2.0 1785751.0 0.10098950215 1785761 864682 2.0 2125887.0 0.10099167368 2125897 1029971
30 2.0 3833394.0 0.100997936928 3833404 1856158 2.0 3378524.0 0.100997640208 3378534 1636163 2.0 4305575.0 0.100998333553 4305585 2085080 2.0 3488735.0 0.100994230762 3488745 1689641 2.0 3109574.0 0.100997765822 3109584 1506155 2.0 3854757.0 0.100996277625 3854767 1866513
40 2.0 5888563.0 0.100998287738 5888573 2851147 2.0 5095717.0 0.100998713395 5095727 2466988 2.0 6638804.0 0.100997424205 6638814 3214206 2.0 5444406.0 0.100998833965 5444416 2636362 2.0 4755532.0 0.100996105547 4755542 2302464 2.0 6108750.0 0.100999984879 6108760 2958288
50 2.0 8428134.0 0.100997820173 8428144 4079959 2.0 7240352.0 0.100999069266 7240362 3505392 2.0 9541307.0 0.100998447901 9541317 4619805 2.0 7863961.0 0.10099737787 7863971 3807217 2.0 6790559.0 0.100999678247 6790569 3287824 2.0 8876384.0 0.10099773786 8876394 4298350
60 2.0 11531966.0 0.100999583762 11531976 5583491 2.0 9928159.0 0.100999573217 9928169 4807046 2.0 13149017.0 0.100999929338 13149027 6366144 2.0 10840171.0 0.100998353578 10840181 5248503 2.0 9339235.0 0.100998039187 9339245 4521944 2.0 12302406.0 0.100998567167 12302416 5956268
70 2.0 15261530.0 0.100999428797 15261540 7389208 2.0 13091058.0 0.100999820426 13091068 6337653 2.0 17449319.0 0.100999250216 17449329 8447197 2.0 14425918.0 0.100999915041 14425928 6984479 2.0 12406916.0 0.100999990781 12406926 6006764 2.0 16521711.0 0.100999516228 16521721 7999417
80 2.0 19743358.0 0.100999887457 19743368 9558532 2.0 16811263.0 0.10099930443 16811273 8138911 2.0 22514382.0 0.100999845073 22514392 10900589 2.0 18730717.0 0.100999573334 18730727 9068560 2.0 16016113.0 0.100999902394 16016123 7753887 2.0 21447077.0 0.100999386604 21447087 10383646
90 2.0 25030441.0 0.100999699711 25030451.0 12117241 2.0 21154425.0 0.100999675046 21154435 10241768 2.0 28566487.0 0.100999455465 28566497.0 13829041 2.0 23854451.0 0.100999510399 23854461.0 11547945 2.0 20228101.0 0.100999060168 20228111 9793725 2.0 27224074.0 0.100999643719 27224084.0 13179179
100 2.0 31255107.0 0.100999832288 31255117.0 15130602 2.0 26376332.0 0.100999302029 26376342.0 12768787 2.0 35666917.0 0.100999984159 35666927.0 17266359 2.0 29872925.0 0.100999300213 29872935.0 14461488 2.0 25210329.0 0.100999715205 25210339.0 12204325 2.0 34184064.0 0.100999951943 34184074.0 16548510
