round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 7.0 786882.0 0.00109992454843 786892 408957 7.0 689941.0 0.00109981567497 689951 358870 7.0 917679.0 0.00109945959382 917689 476950 7.0 237552.0 0.00109851733082 237562 123900 7.0 230483.0 0.00109711857668 230493 120229 7.0 259448.0 0.00109787593467 259458 135252
20 7.0 1796368.0 0.00109999262811 1796378 933085 7.0 1527315.0 0.00109956602327 1527325 793616 7.0 2128343.0 0.00109977219255 2128353 1105614 7.0 1037600.0 0.00109965530971 1037610 539218 7.0 949029.0 0.00109924425121 949039 493101 7.0 1205150.0 0.00109972438022 1205160 626364
30 7.0 3569867.0 0.00109987752723 3569877 1854428 7.0 2984402.0 0.0010998573286 2984412 1549618 7.0 4253833.0 0.00109994892663 4253843 2208723 7.0 2551408.0 0.00109985434623 2551418 1325027 7.0 2189852.0 0.00109967960132 2189862 1137168 7.0 2921815.0 0.00109991647151 2921825 1516969
40 7.0 6297572.0 0.00109994062173 6297582 3269547 7.0 5122455.0 0.00109994469111 5122465 2659706 7.0 7454376.0 0.00109992588533 7454386 3870505 7.0 4985415.0 0.00109987598034 4985425 2588476 7.0 4117270.0 0.00109984962079 4117280 2137842 7.0 5888622.0 0.00109987069054 5888632 3057908
50 7.0 10181960.0 0.00109994688596 10181970 5287161 7.0 8241376.0 0.00109991767921 8241386 4279352 7.0 12116552.0 0.00109994059198 12116562 6291518 7.0 8515087.0 0.00109995324986 8515097 4421341 7.0 6912483.0 0.00109997357956 6912493 3588842 7.0 10151929.0 0.00109997831071 10151939 5270578
60 7.0 15473301.0 0.00109999768293 15473311 8033488 7.0 12593596.0 0.00109996478974 12593606 6538606 7.0 18608263.0 0.0010999855379 18608273 9661020 7.0 13429306.0 0.00109996054699 13429316 6972409 7.0 10853472.0 0.00109994349815 10853482 5636131 7.0 16106752.0 0.00109998512037 16106762 8362543
70 7.0 22390678.0 0.00109996783486 22390688 11624418 7.0 18204344.0 0.00109997363792 18204354 9451116 7.0 26907329.0 0.00109997220677 26907339 13970324 7.0 19921966.0 0.00109997948749 19921976 10342359 7.0 16183102.0 0.00109997402154 16183112 8402503 7.0 24166821.0 0.00109997059147 24166831 12547636
80 7.0 31311966.0 0.00109998114684 31311976 16257655 7.0 25342901.0 0.00109997699407 25342911 13156834 7.0 37236155.0 0.0010999873617 37236165 19331531 7.0 28320025.0 0.00109999518813 28320035 14702642 7.0 22993751.0 0.00109999425754 22993761 11937291 7.0 34082750.0 0.00109997866432 34082760 17695516
90 7.0 42442393.0 0.00109998990884 42442403 22036276 7.0 34216554.0 0.00109998314686 34216564 17764221 7.0 50266706.0 0.00109998979077 50266716 26098112 7.0 38967903.0 0.00109999380603 38967913 20231402 7.0 31479530.0 0.00109999944196 31479540 16343684 7.0 46300693.0 0.00109998868778 46300703 24038037
100 7.0 56190171.0 0.00109998884222 56190181 29171334 7.0 45406819.0 0.00109998998319 45406829 23575223 7.0 66291601.0 0.00109999029525 66291611 34416697 7.0 52106289.0 0.00109999827783 52106299 27052060 7.0 41962016.0 0.00109999998627 41962026 21785738 7.0 61910548.0 0.00109999178574 61910558 32141971
110 7.0 72879283.0 0.00109999155541 72879293.0 37835285 7.0 59263760.0 0.00109999993197 59263770 30768445 7.0 86014565.0 0.00109999804941 86014575.0 44654467 7.0 68159184.0 0.00109999403836 68159194.0 35384846 7.0 55075499.0 0.00109999571244 55075509 28594555 7.0 80684342.0 0.0010999981741 80684352.0 41887281
120 7.0 92889715.0 0.00109999903907 92889725.0 48223701 7.0 75809254.0 0.00109999786725 75809264.0 39356379 7.0 108895217.0 0.00109999612618 108895227.0 56532957 7.0 87450705.0 0.00109999933691 87450715.0 45400039 7.0 71124679.0 0.00109998952486 71124689.0 36924382 7.0 103024179.0 0.00109999999558 103024189.0 53485008
130 7.0 116835380.0 0.001099996238 116835390.0 60655093 7.0 96216521.0 0.00109999659972 96216531.0 49950812 7.0 135740702.0 0.00109999994961 135740712.0 70469791 7.0 110489578.0 0.00109999940374 110489588.0 57360670 7.0 90560051.0 0.00109999458111 90560061.0 47014256 7.0 129156242.0 0.0010999968622 129156252.0 67051468
140 7.0 145074393.0 0.00109999877811 145074403.0 75315376 7.0 120554149.0 0.00109999994363 120554159.0 62585692 7.0 167736633.0 0.00109999738534 167736643.0 87080478 7.0 137855647.0 0.0010999981248 137855657.0 71567764 7.0 113930198.0 0.00109999737031 113930208.0 59146867 7.0 159613476.0 0.00109999602782 159613486.0 82863341
150 7.0 177949968.0 0.00109999874027 177949978.0 92382731 7.0 148929337.0 0.00109999674069 148929347.0 77316670 7.0 206977415.0 0.00109999921972 206977425.0 107452330 7.0 169682609.0 0.00109999989361 169682619.0 88090732 7.0 141600849.0 0.00109999685226 141600859.0 73512086 7.0 197594530.0 0.0010999987798 197594540.0 102581205
160 7.0 215929814.0 0.00109999895787 215929824.0 112099968 7.0 180299851.0 0.0010999995777 180299861.0 93602673 7.0 252104795.0 0.0010999991594 252104805.0 130880210 7.0 207001225.0 0.0010999979523 207001235.0 107464691 7.0 172826893.0 0.00109999560848 172826903.0 89723087 7.0 241660958.0 0.0010999978308 241660968.0 125458292
170 7.0 260402322.0 0.00109999951999 260402332.0 135187871 7.0 216530004.0 0.0010999997229 216530014.0 112411557 7.0 303734882.0 0.00109999858071 303734892.0 157683969 7.0 249894700.0 0.00109999917485 249894710.0 129732839 7.0 207824254.0 0.00109999847159 207824264.0 107891967 7.0 291785031.0 0.00109999966753 291785041.0 151480204
