# Entries uncompressed compressed fpr
8460 10010 6520 0.390379520755
8470 10010 6522 0.391237908659
8480 10010 6522 0.39209610404
8490 10010 6524 0.392954102964
8500 10010 6523 0.393811901511
8510 10010 6524 0.394669495773
8520 10010 6527 0.395526881856
8530 10010 6529 0.396384055878
8540 10010 6528 0.397241013968
8550 10010 6531 0.39809775227
8560 10010 6529 0.398954266939
8570 10010 6531 0.399810554145
8580 10010 6531 0.400666610068
8590 10010 6531 0.401522430902
8600 10010 6532 0.402378012855
8610 10010 6535 0.403233352146
8620 10010 6533 0.404088445006
8630 10010 6534 0.404943287682
8640 10010 6536 0.405797876431
8650 10010 6536 0.406652207523
8660 10010 6538 0.407506277243
8670 10010 6540 0.408360081886
8680 10010 6543 0.409213617761
8690 10010 6543 0.410066881191
8700 10010 6546 0.410919868511
8710 10010 6542 0.411772576067
8720 10010 6544 0.41262500022
8730 10010 6547 0.413477137344
8740 10010 6547 0.414328983824
8750 10010 6548 0.41518053606
8760 10010 6550 0.416031790463
8770 10010 6553 0.416882743459
8780 10010 6554 0.417733391484
8790 10010 6557 0.418583730989
8800 10010 6559 0.419433758438
8810 10010 6560 0.420283470306
8820 10010 6560 0.421132863083
8830 10010 6561 0.421981933271
8840 10010 6562 0.422830677384
8850 10010 6564 0.42367909195
8860 10010 6565 0.42452717351
8870 10010 6565 0.425374918618
8880 10010 6564 0.426222323839
8890 10010 6566 0.427069385753
8900 10010 6567 0.427916100952
8910 10010 6568 0.428762466041
8920 10010 6570 0.429608477639
8930 10010 6571 0.430454132375
8940 10010 6576 0.431299426894
8950 10010 6576 0.432144357853
8960 10010 6573 0.43298892192
8970 10010 6572 0.433833115779
8980 10010 6572 0.434676936124
8990 10010 6573 0.435520379664
9000 10010 6576 0.436363443119
9010 10010 6578 0.437206123225
9020 10010 6579 0.438048416726
9030 10010 6580 0.438890320384
9040 10010 6582 0.439731830971
9050 10010 6584 0.440572945271
9060 10010 6583 0.441413660084
9070 10010 6587 0.442253972221
9080 10010 6588 0.443093878504
9090 10010 6587 0.443933375773
9100 10010 6587 0.444772460875
9110 10010 6586 0.445611130673
9120 10010 6589 0.446449382044
9130 10010 6591 0.447287211874
9140 10010 6594 0.448124617066
9150 10010 6590 0.448961594532
9160 10010 6590 0.4497981412
9170 10010 6592 0.450634254008
9180 10010 6595 0.45146992991
9190 10010 6596 0.45230516587
9200 10010 6595 0.453139958866
9210 10010 6597 0.453974305889
9220 10010 6597 0.454808203941
9230 10010 6600 0.45564165004
9240 10010 6601 0.456474641213
9250 10010 6602 0.457307174504
9260 10010 6603 0.458139246965
9270 10010 6606 0.458970855664
9280 10010 6604 0.459801997681
9290 10010 6606 0.460632670109
9300 10010 6608 0.461462870052
9310 10010 6608 0.462292594629
9320 10010 6607 0.46312184097
9330 10010 6605 0.463950606219
9340 10010 6605 0.464778887531
9350 10010 6606 0.465606682075
9360 10010 6608 0.466433987032
9370 10010 6609 0.467260799597
9380 10010 6611 0.468087116976
9390 10010 6612 0.468912936387
9400 10010 6612 0.469738255063
9410 10010 6612 0.470563070248
9420 10010 6615 0.471387379199
9430 10010 6617 0.472211179185
9440 10010 6618 0.473034467489
9450 10010 6620 0.473857241404
9460 10010 6620 0.474679498238
9470 10010 6619 0.475501235311
9480 10010 6618 0.476322449955
9490 10010 6618 0.477143139514
9500 10010 6619 0.477963301345
9510 10010 6620 0.478782932819
9520 10010 6622 0.479602031316
9530 10010 6625 0.480420594232
9540 10010 6628 0.481238618973
9550 10010 6632 0.482056102959
9560 10010 6633 0.482873043621
9570 10010 6634 0.483689438404
9580 10010 6635 0.484505284763
9590 10010 6638 0.485320580168
9600 10010 6638 0.4861353221
9610 10010 6640 0.486949508052
9620 10010 6640 0.48776313553
9630 10010 6640 0.488576202052
9640 10010 6641 0.489388705149
9650 10010 6641 0.490200642363
9660 10010 6642 0.491012011248
9670 10010 6644 0.491822809373
9680 10010 6646 0.492633034316
9690 10010 6647 0.493442683669
9700 10010 6649 0.494251755035
9710 10010 6652 0.495060246032
9720 10010 6652 0.495868154285
9730 10010 6652 0.496675477436
9740 10010 6652 0.497482213138
9750 10010 6655 0.498288359053
9760 10010 6655 0.49909391286
9770 10010 6657 0.499898872246
9780 10010 6659 0.500703234911
9790 10010 6660 0.50150699857
9800 10010 6660 0.502310160946
9810 10010 6662 0.503112719775
9820 10010 6665 0.503914672807
9830 10010 6665 0.504716017803
9840 10010 6663 0.505516752534
9850 10010 6662 0.506316874784
9860 10010 6664 0.507116382352
9870 10010 6664 0.507915273044
9880 10010 6665 0.508713544681
9890 10010 6668 0.509511195094
9900 10010 6668 0.510308222129
9910 10010 6669 0.511104623639
9920 10010 6669 0.511900397493
9930 10010 6669 0.51269554157
9940 10010 6673 0.51349005376
9950 10010 6674 0.514283931967
9960 10010 6675 0.515077174105
9970 10010 6677 0.515869778099
9980 10010 6677 0.516661741888
9990 10010 6678 0.517453063421
